Ranking (Top 100) for the queries in Queries.txt in the format:
query_id Q0 doc_id rank Lucene_score system_name

hurricane isabel damage:

3 Q0 Effects_of_Hurricane_Isabel_in_Pennsylvania 53 0.058662824 LuceneNoStopNoStem
3 Q0 Louisiana 54 0.058037538 LuceneNoStopNoStem
3 Q0 Holyoke_Hurricanes 55 0.05796352 LuceneNoStopNoStem
3 Q0 Lake_Ontario 56 0.057752352 LuceneNoStopNoStem
3 Q0 Angular_momentum 57 0.05716165 LuceneNoStopNoStem
3 Q0 United_States 58 0.05707115 LuceneNoStopNoStem
3 Q0 New_York_City 59 0.056449812 LuceneNoStopNoStem
3 Q0 Superconductivity 60 0.056022525 LuceneNoStopNoStem
3 Q0 Africa 61 0.055947352 LuceneNoStopNoStem
3 Q0 Materials_science 62 0.055365175 LuceneNoStopNoStem
3 Q0 Greek_language 63 0.054972053 LuceneNoStopNoStem
3 Q0 United_States_dollar 64 0.054895166 LuceneNoStopNoStem
3 Q0 Mexico 65 0.054882266 LuceneNoStopNoStem
3 Q0 Apsis 66 0.054835364 LuceneNoStopNoStem
3 Q0 Bangladesh 67 0.05477371 LuceneNoStopNoStem
3 Q0 University_of_Florida 68 0.053643204 LuceneNoStopNoStem
3 Q0 East_Coast_of_the_United_States 69 0.053423166 LuceneNoStopNoStem
3 Q0 Hurricane_Ivan 70 0.0530745 LuceneNoStopNoStem
3 Q0 Regional_Specialized_Meteorological_Center 71 0.052918307 LuceneNoStopNoStem
3 Q0 Satellite 72 0.051294547 LuceneNoStopNoStem
3 Q0 University_of_Washington 73 0.050806314 LuceneNoStopNoStem
3 Q0 Effects_of_Hurricane_Isabel_in_Virginia 74 0.050766118 LuceneNoStopNoStem
3 Q0 Desiccation 75 0.05071808 LuceneNoStopNoStem
3 Q0 Cape_Verde 76 0.050523214 LuceneNoStopNoStem
3 Q0 Nature 77 0.050271288 LuceneNoStopNoStem
3 Q0 Cold_wave 78 0.050069492 LuceneNoStopNoStem
3 Q0 Nor%27easter 79 0.049536657 LuceneNoStopNoStem
3 Q0 Infrared 80 0.049336936 LuceneNoStopNoStem
3 Q0 New_York_(state) 81 0.04895393 LuceneNoStopNoStem
3 Q0 Rain 82 0.048905525 LuceneNoStopNoStem
3 Q0 Carolina_Hurricanes 83 0.048480686 LuceneNoStopNoStem
3 Q0 Brazil 84 0.048179056 LuceneNoStopNoStem
3 Q0 Atmospheric_convection 85 0.04804129 LuceneNoStopNoStem
3 Q0 Blizzard 86 0.04787638 LuceneNoStopNoStem
3 Q0 Hurricane_Luis 87 0.04787638 LuceneNoStopNoStem
3 Q0 University_of_Wisconsin%E2%80%93Madison 88 0.047831126 LuceneNoStopNoStem
3 Q0 Romney,_Hythe_and_Dymchurch_Railway 89 0.047785416 LuceneNoStopNoStem
3 Q0 Washington_Metro 90 0.047511928 LuceneNoStopNoStem
3 Q0 Metrobus_(Washington,_D.C.) 91 0.046370022 LuceneNoStopNoStem
3 Q0 Biology 92 0.04589195 LuceneNoStopNoStem
3 Q0 M%C3%A9t%C3%A9o-France 93 0.04484735 LuceneNoStopNoStem
3 Q0 Dark_matter 94 0.044599526 LuceneNoStopNoStem
3 Q0 Canadian_Space_Agency 95 0.044569865 LuceneNoStopNoStem
3 Q0 International_Space_Station 96 0.04454276 LuceneNoStopNoStem
3 Q0 European_Space_Agency 97 0.04418157 LuceneNoStopNoStem
3 Q0 St._Clair_County,_Michigan 98 0.044034492 LuceneNoStopNoStem
